Arrondissements,Hopitaux,metro,bus,rer,stationautolib,stattionvelib,etablissement,Prixmetrecarree
6,8,5,26,2,17,33,26,12080
6,8,5,26,2,17,33,26,12030
6,8,5,26,2,17,33,26,12770
6,8,5,26,2,17,33,26,12450
6,8,5,26,2,17,33,26,12510
6,8,5,26,2,17,33,26,11930
6,8,5,26,2,17,33,26,12490
6,8,5,26,2,17,33,26,12220
6,8,5,26,2,17,33,26,11940
6,8,5,26,2,17,33,26,11500
6,8,5,26,2,0,33,26,10880
6,8,5,26,2,0,33,26,10330
6,8,5,26,2,0,33,26,9880
6,8,5,26,2,0,33,26,9480
6,8,5,26,2,0,33,26,8980
6,8,5,26,2,0,33,26,9430
6,8,5,26,2,0,33,26,9220
6,8,5,26,2,0,33,26,9950
6,8,5,26,2,0,33,26,9670
6,8,5,26,2,0,33,26,10160
6,8,5,26,2,0,33,26,9770
6,8,5,26,2,0,33,26,9820
6,8,5,26,2,0,33,26,9460
6,8,5,26,2,0,33,26,9160
6,8,5,26,2,0,33,26,8350
6,8,5,26,2,0,33,26,8820
6,8,5,26,2,0,0,26,8440
6,8,5,26,2,0,0,26,8200
6,8,5,26,2,0,0,26,7880
6,8,5,26,2,0,0,26,7780
6,8,5,26,2,0,0,26,7310
6,8,5,26,2,0,0,26,7560
6,8,5,26,2,0,0,26,7340
6,8,5,26,2,0,0,26,6830
6,8,5,26,2,0,0,26,6660
6,8,5,26,2,0,0,26,6750
6,8,5,26,2,0,0,26,6580
6,8,5,26,2,0,0,26,6460
6,8,5,26,2,0,0,26,6110
6,8,5,26,2,0,0,26,6070
6,8,5,26,2,0,0,26,6000
6,8,5,26,2,0,0,26,6150
6,8,5,26,2,0,0,26,5860
6,8,5,26,2,0,0,26,5580
6,8,5,26,2,0,0,26,5430
6,8,5,26,2,0,0,26,5210
6,8,5,26,2,0,0,26,5400
6,8,5,26,2,0,0,26,5220
6,8,5,26,2,0,0,26,5110
6,8,5,26,2,0,0,26,5180
7,4,4,21,1,16,29,22,12010
7,4,4,21,1,16,29,22,11690
7,4,4,21,1,16,29,22,10720
7,4,4,21,1,16,29,22,11130
7,4,4,21,1,16,29,22,11060
7,4,4,21,1,16,29,22,11230
